,Athlone,Belfast,Cork,Derry,Donegal,Dublin,Dundalk,Galway,Kilkenny,Killarney,Limerick,Portlaoise,Roscommon,Rosslare,Shannon Airport,Sligo,Waterford,Wexford,Wicklow
Athlone,,227,219,209,183,126,145,93,126,232,121,74,32,209,134,117,174,188,177
Belfast,227,,424,117,180,167,84,306,284,436,323,253,224,330,346,206,333,309,219
Cork,219,424,,428,402,257,325,209,148,87,105,174,251,208,129,336,126,178,267
Derry,209,117,428,,69,237,156,272,335,441,328,282,211,397,351,135,383,378,288
Donegal,183,180,402,69,,222,158,204,309,407,296,257,151,391,283,66,357,372,275
Dublin,126,167,257,237,222,,85,219,117,309,198,84,146,163,222,217,158,142,51
Dundalk,145,84,325,156,158,85,,238,198,352,241,151,151,246,265,167,243,227,137
Galway,93,306,209,272,204,219,238,,172,193,105,150,82,274,92,138,220,253,270
Kilkenny,126,284,148,335,309,117,198,172,,198,113,51,158,100,137,245,48,80,124
Killarney,232,436,87,441,407,309,352,193,198,,111,225,264,275,135,343,193,254,335
Limerick,121,323,105,328,296,198,241,105,113,111,,114,151,211,24,232,129,190,227
Portlaoise,74,253,174,282,257,84,151,150,51,225,114,,106,135,138,191,100,114,124
Roscommon,32,224,251,211,151,146,151,82,158,264,151,106,,241,154,85,208,222,198
Rosslare,209,330,208,397,391,163,246,274,100,275,211,135,241,,235,327,82,19,116
Shannon Airport,134,346,129,351,283,222,265,92,137,135,24,138,154,235,,219,153,214,251
Sligo,117,206,336,135,66,217,167,138,245,343,232,191,85,327,219,,293,307,261
Waterford,174,333,126,383,357,158,243,220,48,193,129,100,208,82,153,293,,63,141
Wexford,188,309,178,378,372,142,227,253,80,254,190,114,222,19,214,307,63,,90
Wicklow,177,219,267,288,275,51,137,270,124,335,227,124,198,116,251,261,141,90,